-9.42115768e-01 -9.42115768e-01 -9.42115768e-01  8.09827120e-01 -9.42115768e-01 -2.40948354e+01 
-9.41117764e-01 -9.41117764e-01 -9.41117764e-01  8.09764657e-01 -9.41117764e-01 -2.40454325e+01 
-9.40119760e-01 -9.40119760e-01 -9.40119760e-01  8.09701838e-01 -9.40119760e-01 -2.39959959e+01 
-9.39121756e-01 -9.39121756e-01 -9.39121756e-01  8.09638660e-01 -9.39121756e-01 -2.39465227e+01 
-9.38123752e-01 -9.38123752e-01 -9.38123752e-01  8.09575120e-01 -9.38123752e-01 -2.38970099e+01 
-9.37125749e-01 -9.37125749e-01 -9.37125749e-01  8.09511218e-01 -9.37125749e-01 -2.38474542e+01 
-9.36127745e-01 -9.36127745e-01 -9.36127745e-01  8.09446950e-01 -9.36127745e-01 -2.37978524e+01 
-9.35129741e-01 -9.35129741e-01 -9.35129741e-01  8.09382313e-01 -9.35129741e-01 -2.37482013e+01 
-9.34131737e-01 -9.34131737e-01 -9.34131737e-01  8.09317306e-01 -9.34131737e-01 -2.36984975e+01 
-9.33133733e-01 -9.33133733e-01 -9.33133733e-01  8.09251925e-01 -9.33133733e-01 -2.36487376e+01 
-9.32135729e-01 -9.32135729e-01 -9.32135729e-01  8.09186169e-01 -9.32135729e-01 -2.35989182e+01 
-9.31137725e-01 -9.31137725e-01 -9.31137725e-01  8.09120034e-01 -9.31137725e-01 -2.35490357e+01 
-9.30139721e-01 -9.30139721e-01 -9.30139721e-01  8.09053518e-01 -9.30139721e-01 -2.34990865e+01 
-9.29141717e-01 -9.29141717e-01 -9.29141717e-01  8.08986618e-01 -9.29141717e-01 -2.34490669e+01 
-9.28143713e-01 -9.28143713e-01 -9.28143713e-01  8.08919331e-01 -9.28143713e-01 -2.33989730e+01 
-9.27145709e-01 -9.27145709e-01 -9.27145709e-01  8.08851655e-01 -9.27145709e-01 -2.33488012e+01 
-9.26147705e-01 -9.26147705e-01 -9.26147705e-01  8.08783587e-01 -9.26147705e-01 -2.32985473e+01 
-9.25149701e-01 -9.25149701e-01 -9.25149701e-01  8.08715123e-01 -9.25149701e-01 -2.32482073e+01 
-9.24151697e-01 -9.24151697e-01 -9.24151697e-01  8.08646261e-01 -9.24151697e-01 -2.31977772e+01 
-9.23153693e-01 -9.23153693e-01 -9.23153693e-01  8.08576997e-01 -9.23153693e-01 -2.31472527e+01 
-9.22155689e-01 -9.22155689e-01 -9.22155689e-01  8.08507330e-01 -9.22155689e-01 -2.30966294e+01 
-9.21157685e-01 -9.21157685e-01 -9.21157685e-01  8.08437254e-01 -9.21157685e-01 -2.30459030e+01 
-9.20159681e-01 -9.20159681e-01 -9.20159681e-01  8.08366768e-01 -9.20159681e-01 -2.29950690e+01 
-9.19161677e-01 -9.19161677e-01 -9.19161677e-01  8.08295867e-01 -9.19161677e-01 -2.29441225e+01 
-9.18163673e-01 -9.18163673e-01 -9.18163673e-01  8.08224549e-01 -9.18163673e-01 -2.28930590e+01 
-9.17165669e-01 -9.17165669e-01 -9.17165669e-01  8.08152810e-01 -9.17165669e-01 -2.28418736e+01 
-9.16167665e-01 -9.16167665e-01 -9.16167665e-01  8.08080647e-01 -9.16167665e-01 -2.27905612e+01 
-9.15169661e-01 -9.15169661e-01 -9.15169661e-01  8.08008055e-01 -9.15169661e-01 -2.27391166e+01 
-9.14171657e-01 -9.14171657e-01 -9.14171657e-01  8.07935032e-01 -9.14171657e-01 -2.26875348e+01 
-9.13173653e-01 -9.13173653e-01 -9.13173653e-01  8.07861573e-01 -9.13173653e-01 -2.26358102e+01 
