-9.74051896e-01 -9.74051896e-01 -9.74051896e-01  8.31758714e-01 -9.74051896e-01 -3.92601261e+01 
-9.73053892e-01 -9.73053892e-01 -9.73053892e-01  8.31769540e-01 -9.73053892e-01 -3.93269106e+01 
-9.72055888e-01 -9.72055888e-01 -9.72055888e-01  8.31780282e-01 -9.72055888e-01 -3.93951486e+01 
-9.71057884e-01 -9.71057884e-01 -9.71057884e-01  8.31790940e-01 -9.71057884e-01 -3.94648907e+01 
-9.70059880e-01 -9.70059880e-01 -9.70059880e-01  8.31801511e-01 -9.70059880e-01 -3.95361893e+01 
-9.69061876e-01 -9.69061876e-01 -9.69061876e-01  8.31811994e-01 -9.69061876e-01 -3.96090999e+01 
-9.68063872e-01 -9.68063872e-01 -9.68063872e-01  8.31822390e-01 -9.68063872e-01 -3.96836811e+01 
-9.67065868e-01 -9.67065868e-01 -9.67065868e-01  8.31832695e-01 -9.67065868e-01 -3.97599938e+01 
-9.66067864e-01 -9.66067864e-01 -9.66067864e-01  8.31842909e-01 -9.66067864e-01 -3.98381035e+01 
-9.65069860e-01 -9.65069860e-01 -9.65069860e-01  8.31853030e-01 -9.65069860e-01 -3.99180771e+01 
-9.64071856e-01 -9.64071856e-01 -9.64071856e-01  8.31863058e-01 -9.64071856e-01 -3.99999858e+01 
-9.63073852e-01 -9.63073852e-01 -9.63073852e-01  8.31872990e-01 -9.63073852e-01 -4.00839064e+01 
-9.62075848e-01 -9.62075848e-01 -9.62075848e-01  8.31882826e-01 -9.62075848e-01 -4.01699175e+01 
-9.61077844e-01 -9.61077844e-01 -9.61077844e-01  8.31892564e-01 -9.61077844e-01 -4.02581022e+01 
-9.60079840e-01 -9.60079840e-01 -9.60079840e-01  8.31902202e-01 -9.60079840e-01 -4.03485509e+01 
-9.59081836e-01 -9.59081836e-01 -9.59081836e-01  8.31911739e-01 -9.59081836e-01 -4.04413573e+01 
-9.58083832e-01 -9.58083832e-01 -9.58083832e-01  8.31921173e-01 -9.58083832e-01 -4.05366188e+01 
-9.57085828e-01 -9.57085828e-01 -9.57085828e-01  8.31930503e-01 -9.57085828e-01 -4.06344432e+01 
-9.56087824e-01 -9.56087824e-01 -9.56087824e-01  8.31939727e-01 -9.56087824e-01 -4.07349420e+01 
-9.55089820e-01 -9.55089820e-01 -9.55089820e-01  8.31948844e-01 -9.55089820e-01 -4.08382325e+01 
-9.54091816e-01 -9.54091816e-01 -9.54091816e-01  8.31957851e-01 -9.54091816e-01 -4.09444422e+01 
-9.53093812e-01 -9.53093812e-01 -9.53093812e-01  8.31966747e-01 -9.53093812e-01 -4.10537054e+01 
-9.52095808e-01 -9.52095808e-01 -9.52095808e-01  8.31975531e-01 -9.52095808e-01 -4.11661648e+01 
-9.51097804e-01 -9.51097804e-01 -9.51097804e-01  8.31984200e-01 -9.51097804e-01 -4.12819741e+01 
-9.50099800e-01 -9.50099800e-01 -9.50099800e-01  8.31992752e-01 -9.50099800e-01 -4.14012963e+01 
-9.49101796e-01 -9.49101796e-01 -9.49101796e-01  8.32001186e-01 -9.49101796e-01 -4.15243065e+01 
-9.48103792e-01 -9.48103792e-01 -9.48103792e-01  8.32009499e-01 -9.48103792e-01 -4.16511925e+01 
-9.47105788e-01 -9.47105788e-01 -9.47105788e-01  8.32017690e-01 -9.47105788e-01 -4.17821552e+01 
-9.46107784e-01 -9.46107784e-01 -9.46107784e-01  8.32025757e-01 -9.46107784e-01 -4.19174106e+01 
-9.45109780e-01 -9.45109780e-01 -9.45109780e-01  8.32033697e-01 -9.45109780e-01 -4.20571904e+01 
-9.44111776e-01 -9.44111776e-01 -9.44111776e-01  8.32041508e-01 -9.44111776e-01 -4.22017491e+01 
-9.43113772e-01 -9.43113772e-01 -9.43113772e-01  8.32049188e-01 -9.43113772e-01 -4.23513549e+01 
-9.42115768e-01 -9.42115768e-01 -9.42115768e-01  8.32056734e-01 -9.42115768e-01 -4.25063010e+01 
-9.41117764e-01 -9.41117764e-01 -9.41117764e-01  8.32064145e-01 -9.41117764e-01 -4.26669094e+01 
-9.40119760e-01 -9.40119760e-01 -9.40119760e-01  8.32071417e-01 -9.40119760e-01 -4.28335228e+01 
-9.39121756e-01 -9.39121756e-01 -9.39121756e-01  8.32078549e-01 -9.39121756e-01 -4.30065190e+01 
-9.38123752e-01 -9.38123752e-01 -9.38123752e-01  8.32085537e-01 -9.38123752e-01 -4.31863128e+01 
-9.37125749e-01 -9.37125749e-01 -9.37125749e-01  8.32092380e-01 -9.37125749e-01 -4.33733502e+01 
-9.36127745e-01 -9.36127745e-01 -9.36127745e-01  8.32099073e-01 -9.36127745e-01 -4.35681283e+01 
-9.35129741e-01 -9.35129741e-01 -9.35129741e-01  8.32105616e-01 -9.35129741e-01 -4.37711948e+01 
-9.34131737e-01 -9.34131737e-01 -9.34131737e-01  8.32112003e-01 -9.34131737e-01 -4.39831455e+01 
-9.33133733e-01 -9.33133733e-01 -9.33133733e-01  8.32118234e-01 -9.33133733e-01 -4.42046467e+01 
-9.32135729e-01 -9.32135729e-01 -9.32135729e-01  8.32124304e-01 -9.32135729e-01 -4.44364424e+01 
-9.31137725e-01 -9.31137725e-01 -9.31137725e-01  8.32130211e-01 -9.31137725e-01 -4.46793555e+01 
-9.30139721e-01 -9.30139721e-01 -9.30139721e-01  8.32135951e-01 -9.30139721e-01 -4.49343079e+01 
-9.29141717e-01 -9.29141717e-01 -9.29141717e-01  8.32141520e-01 -9.29141717e-01 -4.52023410e+01 
-9.28143713e-01 -9.28143713e-01 -9.28143713e-01  8.32146917e-01 -9.28143713e-01 -4.54846304e+01 
-9.27145709e-01 -9.27145709e-01 -9.27145709e-01  8.32152136e-01 -9.27145709e-01 -4.57825041e+01 
-9.26147705e-01 -9.26147705e-01 -9.26147705e-01  8.32157174e-01 -9.26147705e-01 -4.60974868e+01 
-9.25149701e-01 -9.25149701e-01 -9.25149701e-01  8.32162028e-01 -9.25149701e-01 -4.64313264e+01 
-9.24151697e-01 -9.24151697e-01 -9.24151697e-01  8.32166693e-01 -9.24151697e-01 -4.67860397e+01 
-9.23153693e-01 -9.23153693e-01 -9.23153693e-01  8.32171166e-01 -9.23153693e-01 -4.71639793e+01 
